UserId,MFAMethod,CreatedAt,ClientIP,Application,Browser,OS,Unit,Title
U0052,EmailLink,2025-07-01 06:36:12.362158310,10.191.81.134,Inventory,Chrome,Windows 11,Satış,Ürün Yöneticisi
U0019,OTP,2025-07-01 06:37:56.092997077,192.168.94.79,Project Tracker,Opera,macOS,Hukuk,Satış Temsilcisi
U0031,Push,2025-07-01 06:40:48.360157470,192.168.221.122,HelpDesk,Chrome,Windows 11,İK,Proje Yöneticisi
U0007,SMS,2025-07-01 06:45:46.966757086,172.25.76.68,DocManager,Opera,Windows 10,İK,Ürün Sahibi
U0054,OTP,2025-07-01 06:50:42.888392004,172.16.119.116,HelpDesk,Chrome,Windows 11,Operasyon,Stajyer
U0019,OTP,2025-07-01 06:53:14.389691849,192.168.94.79,Project Tracker,Opera,macOS,Hukuk,Satış Temsilcisi
U0025,SMS,2025-07-01 06:54:03.092279458,172.21.7.150,HelpDesk,Safari,Windows 11,Bilgi İşlem,Mühendis
U0009,SMS,2025-07-01 06:55:14.151118974,176.118.44.80,TimeTracker,Firefox,Windows 11,Ürün,Analist
U0071,SMS,2025-07-01 06:55:46.639543557,192.168.196.198,Analytics,Opera,Ubuntu Linux,Pazarlama,Scrum Master
U0002,TOTP,2025-07-01 06:57:42.422749826,192.168.19.189,TimeTracker,Chrome,Windows 11,Operasyon,Yazılım Geliştirici
U0073,Push,2025-07-01 07:00:41.042511173,172.24.42.196,DataLake UI,Chrome,Windows 10,İK,Uzman
U0035,SMS,2025-07-01 07:02:36.708779248,10.21.102.108,Analytics,Opera,Windows 11,Satınalma,Veri Bilimci
U0007,Mail,2025-07-01 07:04:29.631530476,20.100.108.25,Project Tracker,Safari,Windows 10,İK,Ürün Sahibi
U0071,SMS,2025-07-01 07:04:52.583708782,10.183.156.37,CRM,Chrome,Windows 10,Pazarlama,Scrum Master
U0036,OTP,2025-07-01 07:06:26.288656226,172.31.214.227,Sales Dashboard,Firefox,Windows 11,Destek,Test Uzmanı
U0026,SMS,2025-07-01 07:06:54.482904427,10.218.103.129,Inventory,Chrome,Windows 10,İK,Satış Müdürü
U0032,SMS,2025-07-01 07:07:21.826302115,172.23.118.157,HelpDesk,Chrome,Windows 10,Hukuk,Operasyon Yöneticisi
U0014,SMS,2025-07-01 07:09:13.759334448,10.13.85.172,Sales Dashboard,Chrome,Windows 11,Operasyon,Yazılım Geliştirici
U0007,Mail,2025-07-01 07:11:50.466231882,172.31.130.84,Project Tracker,Opera,Windows 10,İK,Ürün Sahibi
U0029,SMS,2025-07-01 07:12:34.453015134,99.50.21.204,HR System,Firefox,Windows 10,Satınalma,Proje Yöneticisi
U0037,SMS,2025-07-01 07:13:12.963835960,172.29.220.170,Sales Dashboard,Chrome,Windows 11,Pazarlama,Çözüm Mimarı
U0040,SMS,2025-07-01 07:14:41.752626247,10.75.101.224,HR System,Chrome,Windows 11,İK,Operasyon Yöneticisi
U0035,SMS,2025-07-01 07:17:27.309318986,10.21.102.108,Analytics,Opera,Windows 11,Satınalma,Veri Bilimci
U0083,SMS,2025-07-01 07:19:07.293702525,192.168.70.122,Analytics,Chrome,Android,İK,Ürün Yöneticisi
U0029,SMS,2025-07-01 07:20:24.270563734,172.23.69.217,HR System,Firefox,Windows 10,Satınalma,Proje Yöneticisi
U0052,EmailLink,2025-07-01 07:20:24.452643140,10.191.81.134,FinanceApp,Chrome,Windows 10,Satış,Ürün Yöneticisi
U0016,SMS,2025-07-01 07:24:00.412308125,192.168.128.211,DataLake UI,Chrome,Windows 10,Ar-Ge,Bulut Mühendisi
U0032,OTP,2025-07-01 07:24:23.414449754,192.168.138.1,HelpDesk,Chrome,Windows 10,Hukuk,Operasyon Yöneticisi
U0026,OTP,2025-07-01 07:25:07.791411433,10.218.103.129,FinanceApp,Chrome,Windows 10,İK,Satış Müdürü
U0071,SMS,2025-07-01 07:25:10.359947810,10.183.156.37,CRM,Chrome,Windows 10,Pazarlama,Scrum Master
U0052,EmailLink,2025-07-01 07:27:32.294888581,10.66.73.204,Inventory,Chrome,Windows 10,Satış,Ürün Yöneticisi
U0014,Mail,2025-07-01 07:28:25.331091750,10.34.95.113,FinanceApp,Chrome,Windows 11,Operasyon,Yazılım Geliştirici
U0035,SMS,2025-07-01 07:29:28.157595980,10.21.102.108,Analytics,Opera,Windows 11,Satınalma,Veri Bilimci
U0016,SMS,2025-07-01 07:31:42.846734966,114.116.2.177,DataLake UI,Chrome,Windows 10,Ar-Ge,Bulut Mühendisi
U0052,EmailLink,2025-07-01 07:37:02.378455053,10.191.81.134,FinanceApp,Chrome,Windows 11,Satış,Ürün Yöneticisi
U0026,OTP,2025-07-01 07:38:05.842753871,205.201.194.34,Project Tracker,Opera,Windows 10,İK,Satış Müdürü
U0043,SMS,2025-07-01 07:38:06.886529331,10.26.91.218,HelpDesk,Chrome,Windows 11,Muhasebe,Satış Temsilcisi
U0037,SecurityKey,2025-07-01 07:38:41.451280278,172.29.220.170,Sales Dashboard,Chrome,Windows 11,Pazarlama,Çözüm Mimarı
U0082,OTP,2025-07-01 07:39:31.825632096,219.228.2.43,Analytics,Safari,Windows 11,Lojistik,Test Uzmanı
U0019,TOTP,2025-07-01 07:41:39.959112264,192.168.154.225,Project Tracker,Opera,macOS,Hukuk,Satış Temsilcisi
U0007,SMS,2025-07-01 07:43:30.297567679,172.31.130.84,Project Tracker,Opera,Windows 10,İK,Ürün Sahibi
U0090,SMS,2025-07-01 07:43:32.469770754,10.187.104.205,DocManager,Chrome,Windows 10,Bilgi İşlem,Ağ Mühendisi
U0045,Push,2025-07-01 07:45:24.558386430,184.208.43.54,Project Tracker,Chrome,Windows Server,Lojistik,Veri Bilimci
U0054,OTP,2025-07-01 07:47:06.092770088,172.18.185.1,HelpDesk,Chrome,Windows 11,Operasyon,Stajyer
U0087,Push,2025-07-01 07:48:11.099704451,10.39.144.81,Sales Dashboard,Chrome,Ubuntu Linux,Bilgi İşlem,Analist
U0051,OTP,2025-07-01 07:49:51.013966133,192.168.161.28,Project Tracker,Chrome,Windows 10,Pazarlama,Kıdemli Uzman
U0063,OTP,2025-07-01 07:52:10.140934569,10.35.194.20,FinanceApp,Chrome,Windows 11,Ürün,Analist
U0029,SMS,2025-07-01 07:52:13.762640091,10.114.86.175,HR System,Firefox,Windows 10,Satınalma,Proje Yöneticisi
U0025,SMS,2025-07-01 07:54:15.139945538,192.168.187.82,HelpDesk,Chrome,Windows 11,Bilgi İşlem,Mühendis
U0054,OTP,2025-07-01 07:54:43.274631110,172.18.185.1,HelpDesk,Chrome,Windows 11,Operasyon,Stajyer
U0063,TOTP,2025-07-01 07:54:58.548860331,184.112.232.107,FinanceApp,Chrome,iOS,Ürün,Analist
U0016,SMS,2025-07-01 07:55:14.362255024,172.16.44.10,DataLake UI,Chrome,Windows 10,Ar-Ge,Bulut Mühendisi
U0067,Mail,2025-07-01 07:55:38.730661337,172.21.80.164,Analytics,Firefox,Windows 11,Destek,Sistem Yöneticisi
U0054,OTP,2025-07-01 07:55:54.452973603,172.18.185.1,HelpDesk,Chrome,Windows 11,Operasyon,Stajyer
U0043,OTP,2025-07-01 07:56:22.056907612,172.21.44.178,HelpDesk,Chrome,Windows 11,Muhasebe,Satış Temsilcisi
U0007,SMS,2025-07-01 07:59:58.291036242,192.168.16.13,Project Tracker,Opera,Windows 10,İK,Ürün Sahibi
U0008,OTP,2025-07-01 08:00:18.286852867,192.168.35.49,HelpDesk,Safari,iOS,Lojistik,Destek Uzmanı
U0068,Push,2025-07-01 08:01:06.053537358,192.168.83.103,Project Tracker,Chrome,Windows 11,Bilgi İşlem,İnsan Kaynakları Uzmanı
U0071,OTP,2025-07-01 08:01:56.891811899,10.183.156.37,Analytics,Chrome,Windows 10,Pazarlama,Scrum Master
U0062,OTP,2025-07-01 08:02:38.595891775,10.135.61.72,DataLake UI,Chrome,Windows 10,Operasyon,Operasyon Yöneticisi
U0011,OTP,2025-07-01 08:03:12.316168706,10.175.165.202,TimeTracker,Chrome,iOS,İK,Analist
U0051,Mail,2025-07-01 08:04:17.000870183,10.31.139.32,Project Tracker,Chrome,macOS,Pazarlama,Kıdemli Uzman
U0052,EmailLink,2025-07-01 08:06:13.848099795,10.191.81.134,Inventory,Chrome,Windows 11,Satış,Ürün Yöneticisi
U0071,OTP,2025-07-01 08:08:25.929277751,10.183.156.37,Analytics,Chrome,Windows 10,Pazarlama,Scrum Master
U0052,EmailLink,2025-07-01 08:09:13.470096069,10.142.246.121,FinanceApp,Chrome,Windows 11,Satış,Ürün Yöneticisi
U0037,OTP,2025-07-01 08:11:47.159279959,172.29.220.170,Sales Dashboard,Chrome,Windows 11,Pazarlama,Çözüm Mimarı
U0062,SMS,2025-07-01 08:14:13.665199657,192.168.148.146,DataLake UI,Chrome,Windows 10,Operasyon,Operasyon Yöneticisi
U0019,TOTP,2025-07-01 08:14:30.506294515,192.168.154.225,Project Tracker,Opera,macOS,Hukuk,Satış Temsilcisi
U0066,SMS,2025-07-01 08:15:14.744591925,192.168.29.32,HR System,Chrome,Windows 10,Destek,Veri Mühendisi
U0035,TOTP,2025-07-01 08:15:23.310642069,10.21.102.108,TimeTracker,Firefox,Windows 11,Satınalma,Veri Bilimci
U0011,OTP,2025-07-01 08:16:32.477195148,10.175.165.202,TimeTracker,Chrome,iOS,İK,Analist
U0051,Mail,2025-07-01 08:21:39.255736715,192.168.161.28,Project Tracker,Chrome,macOS,Pazarlama,Kıdemli Uzman
U0011,OTP,2025-07-01 08:22:01.673575095,10.79.49.183,TimeTracker,Chrome,iOS,İK,Analist
U0007,Mail,2025-07-01 08:22:57.876350747,172.25.76.68,Project Tracker,Opera,Windows 10,İK,Ürün Sahibi
U0077,SMS,2025-07-01 08:24:22.976794231,10.15.139.202,DataLake UI,Edge,macOS,Destek,Stajyer
U0052,EmailLink,2025-07-01 08:26:40.282844248,10.142.246.121,Inventory,Chrome,Windows 11,Satış,Ürün Yöneticisi
U0010,TOTP,2025-07-01 08:27:39.341770639,172.22.232.163,Sales Dashboard,Chrome,Windows 11,Bilgi İşlem,Mühendis
U0077,SMS,2025-07-01 08:27:57.397201686,10.15.139.202,HR System,Edge,macOS,Destek,Stajyer
U0034,TOTP,2025-07-01 08:28:24.807438289,10.4.254.175,Sales Dashboard,Firefox,macOS,Lojistik,Sistem Yöneticisi
U0090,OTP,2025-07-01 08:29:13.242740413,10.187.104.205,Project Tracker,Safari,Windows 10,Bilgi İşlem,Ağ Mühendisi
U0077,SecurityKey,2025-07-01 08:29:20.193662483,10.15.139.202,DataLake UI,Edge,macOS,Destek,Stajyer
U0138,Biometric,2025-07-01 08:30:45.334505741,172.16.104.3,DocManager,Edge,Windows 11,Operasyon,Veri Bilimci
U0084,SMS,2025-07-01 08:31:05.599782704,172.24.193.59,CRM,Chrome,Windows 11,Ürün,Destek Uzmanı
U0140,SMS,2025-07-01 08:32:08.640896029,192.168.94.79,DevOps Portal,Opera,macOS,Hukuk,Satış Temsilcisi
U0050,OTP,2025-07-01 08:33:18.562956657,172.20.186.52,DocManager,Edge,Windows 11,Destek,Kıdemli Yazılım Geliştirici
U0034,Push,2025-07-01 08:33:25.662894509,192.168.149.188,Sales Dashboard,Firefox,macOS,Lojistik,Sistem Yöneticisi
U0083,SMS,2025-07-01 08:33:27.163319504,192.168.70.122,Analytics,Chrome,Android,İK,Ürün Yöneticisi
U0062,SMS,2025-07-01 08:34:25.023189583,192.168.148.146,DataLake UI,Chrome,Windows 10,Operasyon,Operasyon Yöneticisi
U0050,Mail,2025-07-01 08:34:30.337870121,172.20.186.52,DocManager,Edge,Windows 11,Destek,Kıdemli Yazılım Geliştirici
U0007,SMS,2025-07-01 08:34:33.213525660,192.168.16.13,Inventory,Opera,Windows 11,İK,Ürün Sahibi
U0040,SMS,2025-07-01 08:34:50.051699207,10.75.101.224,HelpDesk,Chrome,Windows 11,İK,Operasyon Yöneticisi
U0073,Push,2025-07-01 08:35:05.896526612,10.94.164.192,DataLake UI,Chrome,Windows 10,İK,Uzman
U0007,Mail,2025-07-01 08:35:22.671545331,172.25.76.68,Inventory,Opera,Windows 10,İK,Ürün Sahibi
U0077,SMS,2025-07-01 08:36:20.426650743,10.15.139.202,HR System,Edge,macOS,Destek,Stajyer
U0087,OTP,2025-07-01 08:38:08.321159470,10.116.255.98,Sales Dashboard,Chrome,Ubuntu Linux,Bilgi İşlem,Analist
U0090,SMS,2025-07-01 08:39:57.176423346,10.187.104.205,DocManager,Chrome,Windows 10,Bilgi İşlem,Ağ Mühendisi
U0026,SMS,2025-07-01 08:40:06.149510119,10.226.195.125,Project Tracker,Chrome,Windows 10,İK,Satış Müdürü
U0043,SMS,2025-07-01 08:40:34.763786820,10.26.91.218,HelpDesk,Chrome,Windows 11,Muhasebe,Satış Temsilcisi
U0025,TOTP,2025-07-01 08:40:38.789852218,192.168.81.34,HelpDesk,Chrome,Windows 11,Bilgi İşlem,Mühendis
U0053,TOTP,2025-07-01 08:40:46.849073414,36.14.99.150,DataLake UI,Chrome,Android,Satınalma,Satış Müdürü
U0009,SMS,2025-07-01 08:41:02.512746589,176.118.44.80,TimeTracker,Firefox,Windows 11,Ürün,Analist
U0068,OTP,2025-07-01 08:41:28.801415431,91.105.81.224,HR System,Chrome,Windows 11,Bilgi İşlem,İnsan Kaynakları Uzmanı
U0008,OTP,2025-07-01 08:42:06.617516937,192.168.35.49,HelpDesk,Safari,iOS,Lojistik,Destek Uzmanı
U0052,EmailLink,2025-07-01 08:42:22.575612497,10.191.81.134,DocManager,Chrome,Windows 11,Satış,Ürün Yöneticisi
U0029,SMS,2025-07-01 08:43:16.168176322,192.168.131.166,HR System,Firefox,Windows 10,Satınalma,Proje Yöneticisi
U0050,OTP,2025-07-01 08:44:09.965200227,10.124.255.164,DocManager,Edge,Windows 11,Destek,Kıdemli Yazılım Geliştirici
U0139,Push,2025-07-01 08:44:56.185468090,172.19.49.135,Inventory,Chrome,Windows 11,Bilgi İşlem,İnsan Kaynakları Uzmanı
U0016,SMS,2025-07-01 08:45:01.609048449,192.168.128.211,Sales Dashboard,Chrome,Windows 10,Ar-Ge,Bulut Mühendisi
U0014,SMS,2025-07-01 08:45:11.872710702,10.13.85.172,Sales Dashboard,Chrome,Windows 11,Operasyon,Yazılım Geliştirici
U0025,SMS,2025-07-01 08:45:37.538889102,192.168.81.34,HelpDesk,Chrome,Windows 11,Bilgi İşlem,Mühendis
U0036,OTP,2025-07-01 08:46:06.150341060,10.0.82.202,Sales Dashboard,Firefox,macOS,Destek,Test Uzmanı
U0011,OTP,2025-07-01 08:46:42.855769320,10.79.49.183,TimeTracker,Chrome,iOS,İK,Analist
U0059,Biometric,2025-07-01 08:47:56.948975540,172.29.249.135,HelpDesk,Edge,Windows 11,Operasyon,Veri Bilimci
U0007,Mail,2025-07-01 08:49:44.541341955,20.100.108.25,Project Tracker,Safari,Windows 10,İK,Ürün Sahibi
U0066,SMS,2025-07-01 08:50:50.524842190,192.168.29.32,Intranet,Chrome,Windows 10,Destek,Veri Mühendisi
U0050,Mail,2025-07-01 08:51:21.865035723,10.124.255.164,Project Tracker,Firefox,Windows 11,Destek,Kıdemli Yazılım Geliştirici
U0007,SMS,2025-07-01 08:51:40.193029213,192.168.16.13,Project Tracker,Opera,iOS,İK,Ürün Sahibi
U0068,Push,2025-07-01 08:51:47.319956324,192.168.83.103,Project Tracker,Chrome,Windows 11,Bilgi İşlem,İnsan Kaynakları Uzmanı
U0090,SMS,2025-07-01 08:51:52.651349331,10.187.104.205,DocManager,Chrome,Windows 10,Bilgi İşlem,Ağ Mühendisi
U0050,OTP,2025-07-01 08:51:57.427389455,158.163.116.116,Project Tracker,Edge,Windows 11,Destek,Kıdemli Yazılım Geliştirici
U0002,SMS,2025-07-01 08:52:36.954931787,192.168.127.136,TimeTracker,Chrome,Windows 11,Operasyon,Yazılım Geliştirici
U0082,Push,2025-07-01 08:52:54.169302340,10.129.12.218,Analytics,Chrome,Windows 11,Lojistik,Test Uzmanı
U0078,SecurityKey,2025-07-01 08:54:12.745073445,192.168.202.92,DevOps Portal,Chrome,Windows 11,Lojistik,Ağ Mühendisi
U0018,Mail,2025-07-01 08:56:25.574676029,10.126.190.206,TimeTracker,Chrome,Windows 11,İK,Güvenlik Uzmanı
U0067,SMS,2025-07-01 08:58:20.166268999,192.168.210.226,DevOps Portal,Firefox,Windows 11,Destek,Sistem Yöneticisi
U0053,TOTP,2025-07-01 08:58:51.085918932,192.168.22.133,DataLake UI,Chrome,Android,Satınalma,Satış Müdürü
U0083,SMS,2025-07-01 08:58:56.903852409,192.168.209.49,Analytics,Chrome,Android,İK,Ürün Yöneticisi
U0035,TOTP,2025-07-01 09:00:41.301361936,104.169.100.57,HR System,Chrome,Windows 11,Satınalma,Veri Bilimci
U0007,Mail,2025-07-01 09:02:30.729598791,192.168.16.13,Project Tracker,Opera,Windows 10,İK,Ürün Sahibi
U0017,Push,2025-07-01 09:03:17.313735191,192.168.78.48,Intranet,Chrome,Android,Satış,İş Analisti
U0026,SMS,2025-07-01 09:03:23.539034255,10.226.195.125,FinanceApp,Chrome,Windows 11,İK,Satış Müdürü
U0060,SecurityKey,2025-07-01 09:03:45.720880569,172.31.199.43,Project Tracker,Opera,Windows 10,Pazarlama,Sistem Yöneticisi
U0052,EmailLink,2025-07-01 09:05:04.267730107,10.191.81.134,Inventory,Chrome,Windows 11,Satış,Ürün Yöneticisi
U0026,OTP,2025-07-01 09:05:57.235571129,10.218.103.129,Project Tracker,Chrome,Windows 10,İK,Satış Müdürü
U0009,SMS,2025-07-01 09:06:20.580618670,10.79.29.137,TimeTracker,Chrome,Windows 11,Ürün,Analist
U0066,SMS,2025-07-01 09:06:33.460692208,10.180.62.145,DevOps Portal,Chrome,Windows 10,Destek,Veri Mühendisi
U0044,TOTP,2025-07-01 09:09:50.829095681,192.168.118.78,Inventory,Chrome,Windows 10,Satış,Ürün Yöneticisi
U0037,SecurityKey,2025-07-01 09:10:42.165488842,172.29.220.170,Sales Dashboard,Chrome,Windows 11,Pazarlama,Çözüm Mimarı
U0088,Push,2025-07-01 09:11:52.949116363,192.168.135.7,DataLake UI,Chrome,Windows 11,Ar-Ge,Yazılım Geliştirici
U0034,TOTP,2025-07-01 09:12:46.870527551,10.4.254.175,Sales Dashboard,Firefox,macOS,Lojistik,Sistem Yöneticisi
U0032,SMS,2025-07-01 09:13:34.470270244,172.23.118.157,HelpDesk,Chrome,Windows 10,Hukuk,Operasyon Yöneticisi
U0036,OTP,2025-07-01 09:14:08.304273383,10.0.82.202,CRM,Firefox,Windows 11,Destek,Test Uzmanı
U0041,OTP,2025-07-01 09:15:52.539163107,111.90.242.84,CRM,Chrome,Windows 11,Hukuk,Uzman
U0007,SMS,2025-07-01 09:16:08.730450697,172.25.76.68,DocManager,Opera,Windows 10,İK,Ürün Sahibi
U0078,SecurityKey,2025-07-01 09:16:58.974943291,10.206.11.192,DevOps Portal,Chrome,Windows 11,Lojistik,Ağ Mühendisi
U0077,SMS,2025-07-01 09:17:09.758446269,10.224.79.253,HR System,Edge,macOS,Destek,Stajyer
U0060,OTP,2025-07-01 09:17:46.508492724,156.245.201.131,Project Tracker,Edge,Windows 11,Pazarlama,Sistem Yöneticisi
U0008,OTP,2025-07-01 09:19:21.744882143,192.168.35.49,HelpDesk,Safari,iOS,Lojistik,Destek Uzmanı
U0066,OTP,2025-07-01 09:21:15.140025995,10.180.62.145,Intranet,Chrome,Windows 10,Destek,Veri Mühendisi
U0056,SMS,2025-07-01 09:22:46.483449925,172.24.32.40,DevOps Portal,Chrome,Windows 11,Operasyon,Ağ Mühendisi
U0007,SMS,2025-07-01 09:23:05.481897520,172.31.130.84,Project Tracker,Opera,Windows 10,İK,Ürün Sahibi
U0026,SMS,2025-07-01 09:23:10.253948646,10.226.195.125,FinanceApp,Chrome,Windows 11,İK,Satış Müdürü
U0117,Push,2025-07-01 09:23:45.078702793,192.168.79.245,Analytics,Chrome,Windows 10,Satış,Mühendis
U0058,Push,2025-07-01 09:23:58.806197879,192.168.129.173,TimeTracker,Edge,Windows 11,Bilgi İşlem,Kıdemli Uzman
U0004,OTP,2025-07-01 09:25:17.740032064,192.168.72.84,Analytics,Edge,Windows 10,Ürün,Sistem Yöneticisi
U0018,Mail,2025-07-01 09:25:19.738426736,10.126.190.206,DataLake UI,Chrome,Windows 11,İK,Güvenlik Uzmanı
U0017,Push,2025-07-01 09:25:58.368507513,192.168.156.108,Intranet,Firefox,Android,Satış,İş Analisti
U0011,SMS,2025-07-01 09:26:26.312887606,10.110.116.242,FinanceApp,Chrome,iOS,İK,Analist
U0066,SMS,2025-07-01 09:26:36.095199711,10.8.254.236,HR System,Chrome,Windows 10,Destek,Veri Mühendisi
U0050,Mail,2025-07-01 09:26:47.152555896,172.20.186.52,DocManager,Edge,Windows 11,Destek,Kıdemli Yazılım Geliştirici
U0044,TOTP,2025-07-01 09:29:18.502713788,192.168.118.78,Inventory,Chrome,Windows 10,Satış,Ürün Yöneticisi
U0072,SMS,2025-07-01 09:30:29.627636917,10.8.71.23,Analytics,Chrome,Windows 11,Satış,Çözüm Mimarı
U0017,Push,2025-07-01 09:30:58.023041552,10.93.49.62,Intranet,Chrome,Android,Satış,İş Analisti
U0035,TOTP,2025-07-01 09:32:16.579545050,192.168.246.123,HR System,Firefox,Windows 11,Satınalma,Veri Bilimci
U0019,OTP,2025-07-01 09:32:44.746394310,192.168.154.225,Project Tracker,Opera,macOS,Hukuk,Satış Temsilcisi
U0004,Push,2025-07-01 09:32:50.874200883,145.20.88.56,Analytics,Edge,Windows 10,Ürün,Sistem Yöneticisi
U0008,OTP,2025-07-01 09:32:55.436089958,192.168.35.49,Project Tracker,Safari,iOS,Lojistik,Destek Uzmanı
U0051,OTP,2025-07-01 09:33:16.706532145,192.168.161.28,HR System,Chrome,macOS,Pazarlama,Kıdemli Uzman
U0017,SecurityKey,2025-07-01 09:33:28.312936099,192.168.156.108,Intranet,Chrome,Android,Satış,İş Analisti
U0089,Push,2025-07-01 09:34:43.395260320,10.175.46.181,DocManager,Firefox,macOS,Operasyon,Bulut Mühendisi
U0082,Push,2025-07-01 09:35:48.819889200,172.21.219.42,Analytics,Chrome,Windows 10,Lojistik,Test Uzmanı
U0002,TOTP,2025-07-01 09:36:16.191651941,192.168.127.136,TimeTracker,Chrome,Windows 11,Operasyon,Yazılım Geliştirici
U0009,Push,2025-07-01 09:37:20.297089104,192.168.197.101,TimeTracker,Chrome,Windows 11,Ürün,Analist
U0043,SMS,2025-07-01 09:37:36.509962253,10.26.91.218,HelpDesk,Chrome,Windows 11,Muhasebe,Satış Temsilcisi
U0088,Push,2025-07-01 09:37:37.798107312,192.168.135.7,DataLake UI,Chrome,Windows 11,Ar-Ge,Yazılım Geliştirici
U0061,Mail,2025-07-01 09:39:19.313995273,10.246.2.199,DataLake UI,Chrome,Windows 11,İK,İnsan Kaynakları Uzmanı
U0052,EmailLink,2025-07-01 09:40:18.353587023,10.66.73.204,Inventory,Chrome,Windows 11,Satış,Ürün Yöneticisi
U0034,Push,2025-07-01 09:40:58.924761071,192.168.149.188,Sales Dashboard,Firefox,macOS,Lojistik,Sistem Yöneticisi
U0077,SMS,2025-07-01 09:41:36.718134377,10.15.139.202,HR System,Edge,Windows 11,Destek,Stajyer
U0077,SMS,2025-07-01 09:41:41.928571402,10.15.139.202,DataLake UI,Edge,macOS,Destek,Stajyer
U0036,OTP,2025-07-01 09:42:07.168466351,10.0.82.202,Sales Dashboard,Firefox,Windows 11,Destek,Test Uzmanı
U0090,SMS,2025-07-01 09:43:19.419651444,10.187.104.205,Project Tracker,Safari,Windows 10,Bilgi İşlem,Ağ Mühendisi
U0044,TOTP,2025-07-01 09:46:34.436617367,192.168.118.78,Inventory,Chrome,Windows 10,Satış,Ürün Yöneticisi
U0011,OTP,2025-07-01 09:47:42.750960370,10.175.165.202,Analytics,Chrome,iOS,İK,Analist
U0004,OTP,2025-07-01 09:49:01.324374208,192.168.72.84,Analytics,Edge,Windows 10,Ürün,Sistem Yöneticisi
U0052,EmailLink,2025-07-01 09:53:04.328235626,10.191.81.134,DocManager,Chrome,Windows 11,Satış,Ürün Yöneticisi
U0026,SMS,2025-07-01 09:53:27.338763780,10.218.103.129,FinanceApp,Chrome,Windows 10,İK,Satış Müdürü
